Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Not classified or inadequately stated,40.1,44,3.9,18900,47100,46000,104400
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Own account workers agriculture,100,98.6,-1.4,27000,27000,102500,104000
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Own account workers non professional,80.8,90.2,9.4,525400,650100,2025100,2245900
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Routine agricultural,58.4,84,25.6,3500,6000,29700,35400
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Routine operative,64.8,78.9,14.1,253500,391000,976800,1238300
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Routine production,67.9,77.4,9.5,53200,78400,230200,297500
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Routine sales and service,62.6,73.3,10.8,98700,157700,422600,576200
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Routine technical,74.3,88.4,14.2,195500,263300,767500,867700
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Semi routine agricultural,62.3,80,17.6,6900,11100,28800,36000
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Semi routine childcare,83.9,87,3.2,37000,44100,115000,132200
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Semi routine clerical,75.8,81.5,5.7,61200,80800,271300,333100
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Semi routine operative,63.7,81.4,17.7,68000,106800,313200,384600
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Semi routine sales,68.6,77.7,9.1,250400,364800,965200,1242300
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Semi routine services,68.5,81.2,12.8,342800,500800,1328200,1635500
2014,4,01/10/2014 to 31/12/2014,2014 person level weights,NS-SEC category,Semi routine technical,80.6,88.8,8.3,70800,87900,256500,288800
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Employers in large organisations,71,87,16,6400,9000,29000,33300
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Employers in small orgs agriculture,100,100,0,4300,4300,27600,27600
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Employers in small orgs non-professional,74.1,89.5,15.4,74200,100100,334400,373400
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Full-time students,26,31.7,5.7,128200,492400,895200,2824200
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Higher managerial occupations,85.7,91.1,5.4,197300,230200,883600,969800
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Higher professional new employee,88.1,92.9,4.7,249400,282900,1219700,1313600
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Higher professional new self emp,84.5,88.4,3.9,14900,17600,90700,102600
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Higher professional traditional employee,86.1,91.9,5.8,322400,374300,1458100,1586700
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Higher professional traditional self emp,90.3,93.7,3.4,67700,75000,298900,319200
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Higher supervisory occupations,80.2,87.9,7.7,232200,289400,881900,1003400
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Intermediate clerical and administrative,77.3,84.4,7.1,464900,601800,1824000,2162000
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Intermediate engineering,88.8,93.6,4.8,31700,35700,127800,136600
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Intermediate sales and service,78.4,85.3,6.9,238100,303800,986700,1156800
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Intermediate technical and auxiliary,71.6,85,13.5,81800,114300,356100,418800
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Long-term unemployed,1.1,1.6,0.5,1900,172200,6300,383000
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower managerial occupations,78.1,90.1,12,268300,343400,1277300,1417100
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower professional new employee,84.9,91.1,6.3,115800,136500,544300,597200
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower professional new self emp,79.2,90.4,11.3,17000,21500,70900,78400
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower professional traditional employee,80.9,88.6,7.7,818700,1011500,3634900,4103200
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower professional traditional self emp,85,90.4,5.4,129200,151900,467700,517200
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower supervisory occupations,74.1,84,9.9,280000,378000,995100,1184700
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower technical craft,77.8,90.8,13,147100,189100,741300,816800
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Lower technical process operative,82.3,87.4,5.2,31400,38200,100900,115500
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Never worked,1.7,1.4,-0.4,9100,524400,18100,1321000
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Not classifiable for other reasons,0.7,2.1,1.4,8000,1140300,34600,1681400
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Not classified or inadequately stated,29.9,39.6,9.7,20000,66900,57900,146300
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Own account workers agriculture,96,97.6,1.6,21300,22200,91400,93600
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Own account workers non professional,81.4,90.7,9.2,536900,659200,2067200,2279600
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Routine agricultural,68.8,82.4,13.6,5200,7500,37100,45100
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Routine operative,67.1,78.5,11.4,268000,399500,962100,1225800
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Routine production,65.1,76.6,11.5,58200,89400,235100,306900
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Routine sales and service,64,70.9,7,97900,153100,406100,572500
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Routine technical,73.9,88.1,14.2,185300,250700,745500,846000
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Semi routine agricultural,64.5,85.1,20.6,7400,11400,36600,43100
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Semi routine childcare,74.1,82.9,8.7,32400,43800,103000,124300
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Semi routine clerical,76.1,81.4,5.3,71700,94300,273800,336600
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Semi routine operative,69.2,84,14.8,70400,101700,316800,377200
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Semi routine sales,65.7,76.7,11,225300,342700,932000,1215000
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Semi routine services,68.9,80.5,11.6,336600,488800,1294800,1608500
2014b,3,01/07/2014 to 30/09/2014,2014 person level weights,NS-SEC category,Semi routine technical,80.2,88.3,8.1,66200,82500,252300,285800
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Employers in large organisations,81.7,94.2,12.5,5500,6700,27700,29400
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Employers in small orgs agriculture,100,100,0,2900,2900,26500,26500
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Employers in small orgs non-professional,76.7,89.4,12.7,84100,109700,372800,416900
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Full-time students,25.9,28.6,2.6,128200,494100,873700,3058700
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Higher managerial occupations,84,90.6,6.6,188200,224100,888900,981400
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Higher professional new employee,86.4,92.6,6.2,231000,267200,1192300,1287200
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Higher professional new self emp,85,89.1,4.1,16000,18900,90300,101400
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Higher professional traditional employee,87.2,93,5.8,314200,360300,1486200,1598900
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Higher professional traditional self emp,86.5,92.3,5.8,66400,76800,290100,314300
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Higher supervisory occupations,80.3,88.4,8.1,210100,261800,870100,984800
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Intermediate clerical and administrative,76.6,85.1,8.5,442400,577800,1805100,2121300
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Intermediate engineering,80,90.1,10.1,29600,37000,127700,141800
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Intermediate sales and service,76,84.9,8.9,223900,294400,987800,1162900
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Intermediate technical and auxiliary,70.8,85,14.2,75300,106400,347300,408600
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Long-term unemployed,0.9,1,0.1,1700,193300,4100,432000
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower managerial occupations,76.4,89.9,13.5,245100,321100,1241200,1381000
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower professional new employee,89.3,92.6,3.3,115100,128900,525800,568000
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower professional new self emp,88,94.3,6.3,21400,24300,77100,81700
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower professional traditional employee,81.7,88.7,7,827700,1013200,3520500,3968900
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower professional traditional self emp,85.8,90.6,4.8,110500,128800,450900,497900
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower supervisory occupations,71.3,84,12.7,238700,334800,974900,1160900
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower technical craft,79.1,90.6,11.4,146700,185300,732300,808700
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Lower technical process operative,77.6,85.5,8,27100,34900,100200,117200
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Never worked,0.9,1.3,0.4,4200,465800,14700,1150100
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Not classifiable for other reasons,1.1,2.6,1.6,11900,1124500,44100,1685600
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Not classified or inadequately stated,20.6,30,9.3,17900,86600,52100,173800
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Own account workers agriculture,93.6,94,0.3,21800,23300,91100,97000
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Own account workers non professional,81.5,91.1,9.6,512300,628400,2061400,2263600
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Routine agricultural,75.7,81.2,5.4,8200,10900,37800,46600
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Routine operative,65.7,77.5,11.7,258600,393400,928800,1198700
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Routine production,64.8,77,12.2,58600,90500,240800,312700
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Routine sales and service,64.3,70.8,6.5,86300,134200,384000,542500
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Routine technical,74.1,87.5,13.4,179200,242000,704200,804800
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Semi routine agricultural,61.6,79.7,18,7300,11800,34300,43100
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Semi routine childcare,75.2,81.3,6.1,36900,49000,118900,146300
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Semi routine clerical,72.1,82.4,10.3,70200,97400,267100,324200
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Semi routine operative,68.7,84.1,15.5,67600,98500,321300,381900
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Semi routine sales,67.9,76.8,8.9,223400,329200,909100,1183800
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Semi routine services,70.9,81.9,11,349000,492300,1354600,1653700
2014,2,01/04/2014 to 30/06/2014,2011 person level weights,NS-SEC category,Semi routine technical,77.7,88.1,10.4,61400,79000,252300,286300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Employers in large organisations,91.9,93.4,1.5,8100,8800,32500,34800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Employers in small orgs agriculture,89.3,97.9,8.6,3900,4400,22300,22800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Employers in small orgs non-professional,78.6,89.7,11.2,81400,103600,350700,390800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Full-time students,24.7,27.4,2.7,127800,517100,843600,3079300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Higher managerial occupations,84.3,91.7,7.4,195600,232100,929700,1014000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Higher professional new employee,86.7,92.7,6,217100,250400,1163900,1255100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Higher professional new self emp,77.5,93.1,15.7,15100,19500,85400,91700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Higher professional traditional employee,87.1,92.9,5.8,313700,360100,1506500,1621100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Higher professional traditional self emp,86.6,91.3,4.7,65600,75800,291400,319300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Higher supervisory occupations,81,88,7,204100,252100,851800,968500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Intermediate clerical and administrative,74,84.4,10.4,433000,584900,1812200,2147300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Intermediate engineering,76.6,90.4,13.8,25100,32800,117100,129600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Intermediate sales and service,76.5,85.4,8.9,220300,288000,1001000,1172300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Intermediate technical and auxiliary,76.1,87.6,11.5,78900,103700,344600,393500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Long-term unemployed,1.8,1.3,-0.5,4000,221300,6200,477800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower managerial occupations,79.2,89.8,10.6,276300,348900,1251500,1393500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower professional new employee,85.4,91.1,5.7,99600,116600,522200,573100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower professional new self emp,95.4,90.6,-4.8,21900,23000,83900,92600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower professional traditional employee,81.4,88.6,7.2,786500,965600,3462700,3907600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower professional traditional self emp,89.6,92.3,2.7,103000,115000,451600,489300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower supervisory occupations,74.8,85,10.2,251500,336400,998800,1175400
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower technical craft,77.6,91.2,13.6,140500,181000,726700,796600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Lower technical process operative,77,86.2,9.2,24500,31800,96400,111800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Never worked,0.7,0.9,0.2,3200,480600,9800,1132400
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Not classifiable for other reasons,1.1,2.7,1.5,13000,1139100,45400,1704300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Not classified or inadequately stated,15.5,24.7,9.2,18000,115900,54700,221800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Own account workers agriculture,94.7,95.3,0.6,22000,23200,86800,91100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Own account workers non professional,81.7,90.6,8.9,501800,613800,2097300,2314200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Routine agricultural,54.8,75.5,20.7,5800,10500,33400,44300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Routine operative,63.5,75.8,12.3,236400,372200,893300,1179100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Routine production,59.6,73.4,13.9,47900,80400,217200,295800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Routine sales and service,62.6,71.7,9,81800,130700,368000,513600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Routine technical,73.3,87.5,14.1,176600,240800,715200,817800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Semi routine agricultural,58.3,83.9,25.6,5000,8600,32100,38200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Semi routine childcare,74.9,82.3,7.4,40000,53400,119100,144700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Semi routine clerical,69.6,80.5,11,69800,100400,275200,341700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Semi routine operative,64.7,84.6,19.9,56100,86600,301300,356000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Semi routine sales,68.9,77.4,8.5,243700,353600,913000,1179300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Semi routine services,69.2,80.8,11.6,329700,476600,1297300,1606400
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,NS-SEC category,Semi routine technical,73,84.9,11.9,59300,81300,227400,267900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Employers in large organisations,71.8,90.3,18.6,6600,9200,34900,38700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Employers in small orgs agriculture,100,100,0,2300,2300,17900,17900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Employers in small orgs non-professional,82.4,89.3,7,84700,102800,360100,403100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Full-time students,26.5,28.9,2.4,125100,471300,839900,2906200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Higher managerial occupations,83.7,91.4,7.7,202700,242300,924900,1012200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Higher professional new employee,85,92.3,7.3,203000,238700,1144100,1239200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Higher professional new self emp,91.1,92.7,1.6,18500,20400,80300,86600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Higher professional traditional employee,84.2,91.9,7.7,288500,342500,1476100,1605600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Higher professional traditional self emp,86,91.8,5.8,61100,71000,273300,297600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Higher supervisory occupations,78.1,88.2,10.1,195000,249700,866400,982700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Intermediate clerical and administrative,74,83.2,9.2,426800,576900,1782100,2142400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Intermediate engineering,77.9,89.7,11.8,20800,26700,110700,123400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Intermediate sales and service,74.8,83.5,8.8,232700,311200,1017000,1217300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Intermediate technical and auxiliary,78.1,87.8,9.6,84500,108100,363100,413800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Long-term unemployed,3.8,2.8,-0.9,8200,217200,14200,497900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower managerial occupations,81.4,89.3,7.9,289700,355700,1224100,1370000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower professional new employee,83.2,89.8,6.6,101700,122200,517500,576300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower professional new self emp,91.9,88.9,-3,21600,23500,81400,91600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower professional traditional employee,80.6,88.2,7.6,796300,988000,3516600,3986300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower professional traditional self emp,89.3,91.9,2.6,96900,108500,426000,463800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower supervisory occupations,74.5,85.4,10.9,274900,368800,1023200,1197700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower technical craft,77.4,88.9,11.5,148400,191900,703800,791900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Lower technical process operative,79.1,87.2,8.1,25600,32300,102100,117100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Never worked,1.1,1.5,0.4,5200,488400,18000,1222800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Not classifiable for other reasons,1,2.2,1.2,11800,1181100,37800,1708400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Not classified or inadequately stated,38.7,53,14.3,20800,53800,63100,119200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Own account workers agriculture,95.3,93.9,-1.4,22600,23700,85500,91000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Own account workers non professional,81.5,90.3,8.8,485600,595900,2025200,2242100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Routine agricultural,58.1,85.1,27,6300,10800,29400,34500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Routine operative,62.6,75.9,13.3,226300,361300,899900,1185600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Routine production,57.7,72.9,15.2,52900,91700,229500,315000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Routine sales and service,55.7,71.9,16.2,76100,136600,404400,562200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Routine technical,71,87.1,16.1,159400,224500,710500,815700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Semi routine agricultural,64,79,15,6000,9400,31900,40400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Semi routine childcare,79.7,83.1,3.5,43300,54400,128800,154900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Semi routine clerical,68.1,79.1,11.1,68200,100200,284200,359100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Semi routine operative,69.6,85.3,15.7,68100,97800,311500,365200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Semi routine sales,67.7,76.3,8.6,256200,378500,951100,1246000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Semi routine services,68,79.6,11.6,322000,473300,1253000,1574300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,NS-SEC category,Semi routine technical,67.6,85.3,17.7,47600,70400,216400,253600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Employers in large organisations,*,91.3,*,*,*,35800,39200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Employers in small orgs agriculture,*,96.5,*,*,*,18900,19600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Employers in small orgs non-professional,75.5,88.5,13,74000,98000,337500,381300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Full-time students,30.5,31.4,0.9,137800,451500,862400,2743300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Higher managerial occupations,85.7,91.3,5.6,196800,229800,936300,1025800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Higher professional new employee,86.3,92,5.7,228100,264200,1156900,1257600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Higher professional new self emp,89.8,90.4,0.7,18100,20200,71200,78700
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Higher professional traditional employee,85,91.1,6.1,286800,337200,1421000,1559200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Higher professional traditional self emp,89.1,93.4,4.2,70900,79600,278500,298200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Higher supervisory occupations,78.8,87.3,8.4,198600,251900,836900,958900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Intermediate clerical and administrative,72.5,83.3,10.8,424800,585900,1807800,2169600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Intermediate engineering,81,89.7,8.7,24700,30500,119100,132800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Intermediate sales and service,74.1,84,9.8,221800,299300,1032600,1230000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Intermediate technical and auxiliary,78.5,87.9,9.5,93300,118900,370200,420900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Long-term unemployed,3.4,2.8,-0.6,7600,221200,14900,530400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower managerial occupations,82.5,89.8,7.2,293200,355200,1258800,1402200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower professional new employee,85,91.7,6.7,112400,132200,542400,591400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower professional new self emp,67.8,84.5,16.6,18800,27800,79400,94000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower professional traditional employee,80.1,87.6,7.5,805100,1004900,3501900,3996400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower professional traditional self emp,87.1,92.1,5,89500,102800,382900,415600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower supervisory occupations,73.3,85.8,12.5,260700,355500,1037300,1209200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower technical craft,76.7,87.9,11.2,147900,192800,686400,780600
